# this is FONLL_1.3.2 3 optimal choices 
# first, total cross section (in fm2)
3
0.0736079d0 0.0838993d0 0.0840331d0
# cross section is ds/dpt (pb/GeV)
# pt     fit 1                  fit 2               fit 3 
300 0.1d0
22.95  22.075849345467326  21.048698462623054  18.04340154563173
23.05  21.201999209992017  20.19905564577688  17.317087159661437
23.15  20.364765671359958  19.38640743634056  16.621860159861072
23.25  19.562169454066105  18.609520680733755  15.957014014726786
23.35  18.794210558110457  17.86469591821549  15.320429129746985
23.45  18.055940794730414  17.15069999520543  14.709985910410081
23.55  17.34834980167849  16.46629975812324  14.124271293708354
23.65  16.66945830344966  15.80902889980828  13.56257874813794
23.75  16.01827666229139  15.180120573840869  13.024201742194975
23.85  15.392825602698647  14.575875319480021  12.507727212871742
23.95  14.792115486918908  13.997526290306066  12.01244862866437
24.05  14.216146314952175  13.441374025578023  11.537659458069001
24.15  13.66392844904592  12.908651678876215  11.081946638077913
24.25  13.133482613695111  12.398126096620317  10.644603637187236
24.35  12.624808808899749  11.908070863797864  10.22563045539698
24.45  12.135927759154786  11.4382393496928  9.824320561203276
24.55  11.666839464460228  10.987645031440852  9.438554360094539
24.65  11.217543924816072  10.55554801689383  9.06903838357463
24.75  10.785072226964761  10.141085098545503  8.714359568635828
24.85  10.370414008658813  9.743516384247672  8.37381138377427
24.95  9.972579632145704  9.362225297210175  8.048100360493816
25.05  9.591074278549181  8.996595260642847  7.735106904282881
25.15  9.224611418790962  8.645886382397489  7.434831015141464
25.25  8.872795197770046  8.309605401041972  7.147272693069566
25.35  8.535130796610163  7.986889109070067  6.871018875059463
25.45  8.21102443265981  7.677490875765708  6.606140214261542
25.55  7.89988232326747  7.380670808980695  6.352071485472711
25.65  7.601209649556885  7.0959356472829  6.108388769790653
25.75  7.314412628876541  6.822915444598223  5.874597495162666
25.85  7.039194369900683  6.5609936241365014  5.650273742686432
25.95  6.774862126202547  6.309676924465602  5.435064246610018
26.05  6.521119006456376  6.068595399511428  5.228686394331883
26.15  6.277470191785912  5.837379103199879  5.030574960648934
26.25  6.043519827090145  5.615534774098825  4.840517986110014
26.35  5.818971021043319  5.402692466134168  4.658162204963192
26.45  5.603229990993923  5.198482233231808  4.483154351456537
26.55  5.396098809391453  5.002534129317648  4.315282466138888
26.65  5.197082657359648  4.814601523675622  4.15412263010793
26.75  5.0059836073480035  4.634191154873597  3.999462883912505
26.85  4.822405804255513  4.461056392195509  3.8509499618006795
26.95  4.646052356756419  4.294950604925293  3.708513210622069
27.05  4.476329482199211  4.1351339009147505  3.5713754457224245
27.15  4.312940289258132  3.981359649447817  3.439395360800974
27.25  4.155488922832173  3.8332579044503925  3.3123609964065586
27.35  4.003777455370832  3.6907053505644463  3.1899897399376327
27.45  3.857706923098856  3.5534553570739114  3.072281591394198
27.55  3.71707939846574  3.421384608620755  2.9588832850243216
27.65  3.5815979901457298  3.294246474488911  2.849724167677619
27.75  3.45106477058832  3.171917639320348  2.7446629330533163
27.85  3.325380776018259  3.054151472398999  2.643487621700255
27.95  3.204447042660295  2.940824658366832  2.5461275804680503
28.05  3.0878677154134193  2.831690566507781  2.4523708499055425
28.15  2.9756427942776327  2.726749196821846  2.362146776862345
28.25  2.8675743517024306  2.625630603234929  2.2753140550376862
28.35  2.7634644601373095  2.5284581011050618  2.191731378130793
28.45  2.6632141558070166  2.43498505971618  2.11132809299128
28.55  2.5667244749363003  2.344964848352217  2.0338922401679875
28.65  2.473896453749909  2.2582741516551406  1.9593531665105302
28.75  2.384433200922086  2.1749129696249505  1.8876402188685213
28.85  2.2982357526775794  2.0947579869036135  1.818682744091575
28.95  2.215403072791642  2.0175625727750646  1.7522687827285324
29.05  2.1355393061632646  1.9434500425973362  1.6883983347793934
29.15  2.0586444527924477  1.87205045029633  1.6268594407929997
29.25  1.9847185126791913  1.8033637958720459  1.5677227539197374
29.35  1.9134645944977393  1.7372667639664512  1.5108469678588337
29.45  1.844882698248092  1.6737593545795457  1.4560201231591303
29.55  1.778873860154997  1.6125949369952643  1.4033835261213998
29.65  1.7154380802184543  1.5537735112136062  1.352654564144097
29.75  1.654278467112708  1.497295077234572  1.3039038903776083
29.85  1.5953950208377583  1.4429130043420957  1.2569901985211611
29.95  1.5387877413936049  1.3906272925361776  1.2118428354243695

